FullName,University,JoinYear,SubField,Bachelors,Doctorate
José F. Martínez,Cornell University,2002,Computer Architecture,Polytechnic University of Valencia,University of Illinois at Urbana-Champaign
Karthik Sridharan,Cornell University,2014,Machine Learning & Data Mining,M. S. Ramaiah Institute of Technology,Toyota Technological Institute
Kavita Bala,Cornell University,2000,Computer Graphics,Indian Institute of Technology Bombay,Massachusetts Institute of Technology
Ken Birman,Cornell University,1982,Scientific Computing,Columbia University,"University of California, Berkeley"
Kilian Q. Weinberger,Cornell University,2010,Machine Learning & Data Mining,University of Oxford,University of Pennsylvania
Kirstin Peterson,Cornell University,,,,
Lillian Lee,Cornell University,1997,Natural Language Processing,Cornell University,Harvard University
Lorenzo Alvisi,Cornell University,2007,High-Performance Computing,University of Bologna,Cornell University
Madeleine Udell,Cornell University,2016,,Yale University,Stanford University
Malte F. Jung,Cornell University,2013,Artificial Intelligence,Technical University of Munich,Stanford University
Martha E. Pollack,Cornell University,2017,Artificial Intelligence,Dartmouth College,University of Pennsylvania
Mor Naaman [Tech],Cornell University,2013,Human-Computer Interaction,Tel Aviv University,Stanford University
Nate Foster,Cornell University,2010,Programming Languages,Williams College,University of Pennsylvania
Nicola Dell [Tech],Cornell University,2016,Human-Computer Interaction,University of East Anglia,University of Washington
Nika Haghtalab,Cornell University,,,,
Noah Snavely [Tech],Cornell University,2009,Computer Vision,University of Arizona,University of Washington
Phoebe Sengers,Cornell University,2001,Human-Computer Interaction,Johns Hopkins University,Carnegie Mellon University
Rachit Agarwal,Cornell University,2016,,Indian Institute of Technology Kanpur,University of Illinois at Urbana-Champaign
Rafael Pass [Tech],Cornell University,2006,Algorithms & Complexity,Royal Institute of Technology,Massachusetts Institute of Technology
Ramin Zabih [Tech],Cornell University,1994,Computer Vision,Massachusetts Institute of Technology,Stanford University
Robert D. Kleinberg,Cornell University,2006,Algorithms & Complexity,Cornell University,Massachusetts Institute of Technology
Robert L. Constable,Cornell University,1968,Programming Languages,Princeton University,University of Wisconsin-Madison
Ronald J. Brachman,Cornell University,2016,Artificial Intelligence,Princeton University,Harvard University
Ross A. Knepper,Cornell University,2014,Artificial Intelligence,Carnegie Mellon University,Carnegie Mellon University
Ross Tate,Cornell University,2012,Programming Languages,California Polytechnic State University,"University of California, San Diego"
Serge J. Belongie [Tech],Cornell University,2013,Computer Vision,California Institute of Technology,"University of California, Berkeley"
Shiri Azenkot [Tech],Cornell University,,,,
Siddhartha Banerjee,Cornell University,2015,Algorithms & Complexity,Indian Institute of Technology Madras,University of Texas at Austin
Steve Marschner,Cornell University,2002,Computer Graphics,Brown University,Cornell University
Tanzeem Choudhury [Tech],Cornell University,2011,Machine Learning & Data Mining,University of Rochester,Massachusetts Institute of Technology
Tapan S. Parikh,Cornell University,2008,Human-Computer Interaction,Brown University,University of Washington
Thomas Ristenpart [Tech],Cornell University,2015,Computer Security,"University of California, Davis","University of California, San Diego"
Thorsten Joachims,Cornell University,2001,Machine Learning & Data Mining,TU Dortmund,TU Dortmund
Vitaly Shmatikov [Tech],Cornell University,2015,Computer Security,University of Washington,Stanford University
Yoav Artzi [Tech],Cornell University,2015,Computer Education,Tel Aviv University,University of Washington
Zhiru Zhang,Cornell University,2012,Algorithms & Complexity,Peking University,"University of California, Los Angeles"
Alberto Quattrini Li,Dartmouth College,2018,Artificial Intelligence,University of Pisa,Politecnico di Milano
Amit Chakrabarti,Dartmouth College,2009,Algorithms & Complexity,Indian Institute of Technology Bombay,Princeton University
Andrew T. Campbell,Dartmouth College,2005,Computer Networks,Aston University,University of Lancaster
Chris Bailey-Kellogg,Dartmouth College,2004,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,Ohio State University
Dan Rockmore,Dartmouth College,1998,,Princeton University,Harvard University
David F. Kotz,Dartmouth College,1991,Scientific Computing,Dartmouth College,Duke University
Deeparnab Chakrabarty,Dartmouth College,,,,Georgia Institute of Technology
Devin J. Balkcom,Dartmouth College,2010,Artificial Intelligence,Johns Hopkins University,Carnegie Mellon University
Gevorg Grigoryan,Dartmouth College,2011,Comp. Bio & Bioinformatics,University of Maryland,Massachusetts Institute of Technology
Lisa Fleischer,Dartmouth College,,Algorithms & Complexity,,Cornell University
Lorenzo Torresani,Dartmouth College,2009,Computer Vision,University of Milan,Stanford University
Lorie Loeb,Dartmouth College,2002,Interdisciplinary Areas,New York University,
Michael A. Casey,Dartmouth College,2009,Interdisciplinary Areas,University of East Anglia,Massachusetts Institute of Technology
Peter M. Winkler,Dartmouth College,2004,,Harvard University,Yale University
Prasad Jayanti,Dartmouth College,,,Indian Institute of Technology Madras,Cornell University
Robert L. (Scot) Drysdale III,Dartmouth College,1979,Algorithms & Complexity,Knox College,Stanford University
Sean W. Smith,Dartmouth College,,,Princeton University,Carnegie Mellon University
Sergey Bratus,Dartmouth College,2002,Computer Security,Moscow Institute of Physics and Technology,Northeastern University
Thomas H. Cormen,Dartmouth College,1992,Algorithms & Complexity,Princeton University,Massachusetts Institute of Technology
Tim A. Tregubov,Dartmouth College,2013,,Dartmouth College,
V. S. Subrahmanian,Dartmouth College,1989,Artificial Intelligence,Birla Institute of Technology and Science,Syracuse University
Wojciech Jarosz,Dartmouth College,2015,,University of Illinois at Urbana-Champaign,"University of California, San Diego"
Xia Zhou,Dartmouth College,2013,Computer Networks,Wuhan University,"University of California, Santa Barbara"
Xing-Dong Yang,Dartmouth College,2015,,University of Manitoba,University of Alberta
David E. Breen,Drexel University,,Computer Graphics,Colgate University,Rensselaer Polytechnic Institute
Geoffrey Mainland,Drexel University,,,,
A. Robert Calderbank,Duke University,2010,Computer Networks,University of Warwick,California Institute of Technology
Alexander J. Hartemink,Duke University,2001,Comp. Bio & Bioinformatics,Duke University,Massachusetts Institute of Technology
Alvin R. Lebeck,Duke University,1996,Computer Architecture,University of Wisconsin-Madison,University of Wisconsin-Madison
Ashwin Machanavajjhala,Duke University,2012,Computer Security,Indian Institute of Technology Madras,Cornell University
Benjamin C. Lee,Duke University,2010,Computer Architecture,"University of California, Berkeley",Harvard University
Bruce M. Maggs,Duke University,2009,High-Performance Computing,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Bruce Randall Donald,Duke University,2006,Comp. Bio & Bioinformatics,Yale University,Massachusetts Institute of Technology
Carlo Tomasi,Duke University,2001,Computer Vision,University of Padua,Carnegie Mellon University
Craig Henriquez,Duke University,,Comp. Bio & Bioinformatics,Duke University,Duke University
Cynthia Rudin,Duke University,2016,Machine Learning & Data Mining,University at Buffalo,Princeton University
Daniel J. Sorin,Duke University,2002,Computer Architecture,Duke University,University of Wisconsin-Madison
David E. Carlson,Duke University,2017,Machine Learning & Data Mining,Duke University,Duke University
Debmalya Panigrahi,Duke University,2013,Algorithms & Complexity,Jadavpur University,Massachusetts Institute of Technology
Guillermo Sapiro,Duke University,2012,Computer Vision,Technion - Israel Institute of Technology,Technion - Israel Institute of Technology
Hai Helen Li,Duke University,2017,Computer Architecture,Tsinghua University,Purdue University
Jeffrey S. Chase,Duke University,1995,Operating Systems,Dartmouth College,University of Washington
John H. Reif,Duke University,1986,Algorithms & Complexity,Tufts University,Harvard University
Jun Yang,Duke University,2001,Databases,"University of California, Berkeley",Stanford University
Kamesh Munagala,Duke University,2004,Algorithms & Complexity,Indian Institute of Technology Bombay,Stanford University
Kartik Nayak,Duke University,2019,Computer Security,Veermata Jijabai Technological Institute,University of Maryland
Katherine Heller,Duke University,2012,Machine Learning & Data Mining,Stony Brook University,University College London
Kishor S. Trivedi,Duke University,1975,Software Engineering,Indian Institute of Technology Bombay,University of Illinois at Urbana-Champaign
Krishnendu Chakrabarty,Duke University,1998,Computer Architecture,Indian Institute of Technology Kharagpur,University of Michigan
Lars Arge,Duke University,,Algorithms & Complexity,Aarhus University,Aarhus University
Lawrence Carin,Duke University,1995,Machine Learning & Data Mining,University of Maryland,University of Maryland
Lisa Wu,Duke University,2019,Computer Architecture,University of Illinois at Urbana-Champaign,Columbia University
M. V. N. Ashwin Kumar,Duke University,2012,Computer Security,Indian Institute of Technology Madras,Cornell University
Maria Gorlatova,Duke University,2018,Embedded & Real-Time Systems,University of Ottawa,Columbia University
Miroslav Pajic,Duke University,2014,Embedded & Real-Time Systems,University of Belgrade,University of Pennsylvania
Neil Zhenqiang Gong,Duke University,2019,Computer Security,University of Science and Technology of China,"University of California, Berkeley"
Pankaj K. Agarwal,Duke University,1989,Algorithms & Complexity,Indian Institute of Technology Roorkee,New York University
Raluca-Mihaela Gordan,Duke University,2011,Comp. Bio & Bioinformatics,Alexandru Ioan Cuza University,Duke University
Robert Wagner,Duke University,2006,Computer Education,Massachusetts Institute of Technology,Carnegie Mellon University
Ronald Parr,Duke University,2000,Artificial Intelligence,Princeton University,"University of California, Berkeley"
Rong Ge,Duke University,2015,Machine Learning & Data Mining,Tsinghua University,Princeton University
Shivnath Babu,Duke University,2011,Databases,Indian Institute of Technology Madras,Stanford University
Sudeepa Roy,Duke University,2015,Databases,Jadavpur University,University of Pennsylvania
Susan H. Rodger,Duke University,1994,Algorithms & Complexity,North Carolina State University,Purdue University
Vincent Conitzer,Duke University,2006,Artificial Intelligence,Harvard University,Carnegie Mellon University
Xiaobai Sun,Duke University,,Scientific Computing,Chinese Academy of Sciences,University of Maryland
Xiaowei Yang,Duke University,2008,Computer Networks,Tsinghua University,Massachusetts Institute of Technology
Yiran Chen,Duke University,2017,Computer Architecture,Tsinghua University,Purdue University
David Steurer,ETH Zurich,2011,Algorithms & Complexity,Saarland University,Princeton University
Onur Mutlu,ETH Zurich,2009,Computer Architecture,University of Michigan,University of Texas at Austin
Zhendong Su,ETH Zurich,2002,Programming Languages,University of Texas at Austin,"University of California, Berkeley"
Adrian Nistor,Florida State University,2016,Software Engineering,,University of Illinois at Urbana-Champaign
Alan Kuhnle,Florida State University,,,,
An-I Andy Wang,Florida State University,2003,Computer Networks,"University of California, Berkeley","University of California, Los Angeles"
Ashok Srinivasan,Florida State University,2001,Algorithms & Complexity,,"University of California, Santa Barbara"
Daniel Schwartz,Florida State University,1984,Artificial Intelligence,Portland State University,Portland State University
David B. Whalley,Florida State University,1990,Computer Architecture,Tennessee Technological University,University of Virginia
Gary Tyson,Florida State University,2003,Computer Architecture,"California State University, Sacramento","University of California, Davis"
Grigory Fedyukovich,Florida State University,,,,
Jiawei Zhang,Florida State University,2017,Machine Learning & Data Mining,Nanjing University,University of Illinois at Chicago
Jie Yang,Florida State University,2014,Computer Security,,Stevens Institute of Technology
Lois Wright Hawkes,Florida State University,1980,High-Performance Computing,University of Western Ontario,Imperial College London
Margareta Ackerman,Florida State University,2014,Algorithms & Complexity,University of Waterloo,University of Waterloo
Michael Mascagni,Florida State University,1999,Algorithms & Complexity,University of Iowa,New York University
Mike Burmester,Florida State University,2001,High-Performance Computing,National and Kapodistrian University of Athens,Sapienza University of Rome
Peixiang Zhao,Florida State University,2012,Databases,Peking University,University of Illinois at Urbana-Champaign
Piyush Kumar,Florida State University,2004,Algorithms & Complexity,Indian Institute of Technology Kharagpur,Stony Brook University
Robert A. van Engelen,Florida State University,1998,High-Performance Computing,Utrecht University,Leiden University
Shayok Chakraborty,Florida State University,,Computer Vision,,Arizona State University
Sonia Haiduc,Florida State University,2013,Software Engineering,Babeș-Bolyai University,Wayne State University
Sudhir Aggarwal,Florida State University,2002,Computer Networks,Stanford University,University of Michigan
Viet Tung Hoang,Florida State University,,Scientific Computing,"University of California, Davis",
Weikuan Yu,Florida State University,,,,
Xifeng Gao,Florida State University,,,,
Xin Yuan,Florida State University,,High-Performance Computing,Shanghai Jiao Tong University,University of Pittsburgh
Xiuwen Liu,Florida State University,2000,Computer Vision,,Ohio State University
Zhenghao Zhang,Florida State University,2007,Computer Networks,Zhejiang University,New York University
Zhenhai Duan,Florida State University,2003,Computer Networks,Shandong University,University of Minnesota
Zhi Wang,Florida State University,2012,Operating Systems,Xi'an Jiaotong University,North Carolina State University
John Iacono,Free University of Brussels,,Algorithms & Complexity,Stevens Institute of Technology,Rutgers University
Alexander Brodsky,George Mason University,1993,Databases,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Amarda Shehu,George Mason University,2008,Comp. Bio & Bioinformatics,Clarkson University,Rice University
Amihai Motro,George Mason University,1990,Databases,Tel Aviv University,University of Pennsylvania
Angelos Stavrou,George Mason University,2007,Computer Security,University of Patras,Columbia University
Arun K. Sood,George Mason University,1987,Computer Architecture,Indian Institute of Technology Delhi,Carnegie Mellon University
Carlotta Domeniconi,George Mason University,2002,Machine Learning & Data Mining,University of Milan,"University of California, Riverside"
Dana Richards,George Mason University,1994,Algorithms & Complexity,University of Virginia,University of Illinois at Urbana-Champaign
Daniel A. Menascé,George Mason University,2005,Computer Networks,Pontifical Catholic University of Peru,"University of California, Los Angeles"
Daniel Barbará,George Mason University,1997,Machine Learning & Data Mining,Universidad Metropolitana,Princeton University
Daniel Menasca,George Mason University,1992,Computer Education,"University of California, Los Angeles","University of California, Los Angeles"
David Nordstrom,George Mason University,1997,Computer Security,University of Michigan,"University of California, Berkeley"
Duminda Wijesekera,George Mason University,1999,Computer Security,University of Colombo,Cornell University
Elizabeth L. White,George Mason University,1994,Programming Languages,College of William & Mary,University of Maryland
Eric Osterweil,George Mason University,2018,Computer Security,Johns Hopkins University,"University of California, Los Angeles"
Fei Li,George Mason University,2007,Algorithms & Complexity,Jilin University,Columbia University
Foteini Baldimtsi,George Mason University,2016,Cryptography,University of Macedonia,Brown University
Gheorghe Tecuci,George Mason University,1990,Artificial Intelligence,Politehnica University of Bucharest,University of Paris
Hakan Aydin,George Mason University,2001,Embedded & Real-Time Systems,Worcester Polytechnic Institute,University of Pittsburgh
Harry Wechsler,George Mason University,1987,Machine Learning & Data Mining,Huazhong University of Science and Technology,"University of California, Irvine"
Hassan Gomaa,George Mason University,1987,Software Engineering,University College London,Imperial College London
Houman Homayoun,George Mason University,2018,Machine Learning & Data Mining,,"University of California, Irvine"
Huzefa Rangwala,George Mason University,2008,Comp. Bio & Bioinformatics,Veermata Jijabai Technological Institute,University of Minnesota
J. Mark Pullen,George Mason University,1992,Computer Networks,West Virginia Wesleyan College,George Washington University
Jan M. Allbeck,George Mason University,2009,Computer Graphics,Bloomsburg University of Pennsylvania,University of Pennsylvania
Jana Kosecka,George Mason University,2000,Human-Computer Interaction,Slovak University of Technology in Bratislava,University of Pennsylvania
Jeff Offutt,George Mason University,2005,Software Engineering,Morehead State University,Georgia Institute of Technology
Jessica Lin,George Mason University,2005,Machine Learning & Data Mining,"University of California, Riverside","University of California, Riverside"
Jim X. Chen,George Mason University,1995,Computer Graphics,Shanghai Jiao Tong University,University of Central Florida
Jonathan Bell,George Mason University,2016,Software Engineering,Columbia University,Columbia University
Jonathan Katz,George Mason University,2019,Computer Security,Massachusetts Institute of Technology,Columbia University
Jyh-Ming Lien,George Mason University,2007,Computer Graphics,National Chengchi University,Texas A&M University
Kai Zeng,George Mason University,2001,Machine Learning & Data Mining,Huazhong University of Science and Technology,Worcester Polytechnic Institute
Kenneth A. De Jong,George Mason University,1984,Algorithms & Complexity,,University of Michigan
Kinga Dobolyi,George Mason University,,Software Engineering,University of Maryland,University of Virginia
Lap-Fai Craig Yu,George Mason University,2019,Human-Computer Interaction,Hong Kong University of Science and Technology,"University of California, Los Angeles"
Larry Kerschberg,George Mason University,1991,Software Engineering,Sir Syed CASE Institute of Technology,Case Western Reserve University
Mark Snyder,George Mason University,,Natural Language Processing,University of North Carolina at Chapel Hill,University of Kansas
Parth H. Pathak,George Mason University,2016,Mobile Computing,Gujarat University,North Carolina State University
Paul Ammann,George Mason University,1995,Software Engineering,Dartmouth College,University of Virginia
Pearl Y. Wang,George Mason University,1985,Scientific Computing,,University of Wisconsin-Madison
Qi Wei,George Mason University,2012,Computer Graphics,,Rutgers University
Richard Carver,George Mason University,1989,Programming Languages,Ohio State University,North Carolina State University
Robert Simon,George Mason University,,Computer Networks,University of Rochester,University of Pittsburgh
S. Dov Gordon,George Mason University,2012,Computer Education,Columbia University,University of Maryland
Sanjeev Setia,George Mason University,2002,Computer Networks,Birla Institute of Technology and Science,University of Maryland
Sean Luke,George Mason University,,Robotics,Brigham Young University,University of Maryland
Songqing Chen,George Mason University,2004,Operating Systems,Huazhong University of Science and Technology,College of William & Mary
Thomas D. LaToza,George Mason University,2015,Software Engineering,University of Illinois at Urbana-Champaign,Carnegie Mellon University
Xinyuan Wang,George Mason University,2004,Computer Networks,Peking University,North Carolina State University
Yotam I. Gingold,George Mason University,2012,Computer Graphics,Brown University,New York University
Yue Cheng,George Mason University,2017,Machine Learning & Data Mining,Beijing University of Posts and Telecommunications,Virginia Tech
Yutao Zhong,George Mason University,,Programming Languages,,University of Rochester
Zoran Duric,George Mason University,1995,Computer Vision,University of Sarajevo,University of Maryland
Adam J. Aviv,George Washington University,,,,
Arkady Yerukhimovich,George Washington University,,,,
Aylin Caliskan,George Washington University,,,,
Evan Drumwright,George Washington University,,,,
H. Howie Huang,George Washington University,,,,
James K. Hahn,George Washington University,,,,
Robert Pless,George Washington University,2000,Computer Vision,Cornell University,University of Maryland
Timothy Wood,George Washington University,,,,
Xiuzhen Cheng,George Washington University,,,,
Calvin C. Newport,Georgetown University,,,,
Clay Shields,Georgetown University,,,,
Der-Chen Chang,Georgetown University,,,,
Evan Barba,Georgetown University,,,,
Hui Yang,Georgetown University,,,,
J. Montgomery,Georgetown University,,,,
Jeremy T. Fineman,Georgetown University,,,,
Justin Thaler,Georgetown University,,,,
Kobbi Nissim,Georgetown University,,,,
Matt Blaze,Georgetown University,1994,Computer Security,City University of New York,Princeton University
Micah Sherr,Georgetown University,,,,
Nathan Schneider,Georgetown University,,,,
Nazli Goharian,Georgetown University,,,,
Ophir Frieder,Georgetown University,,,,
Richard Squier,Georgetown University,,,,
Wenchao Zhou,Georgetown University,,,,
Ada Gavrilovska,Georgia Institute of Technology,,,,
Alessandro Orso,Georgia Institute of Technology,2000,Software Engineering,,Politecnico di Milano
Alex Endert,Georgia Institute of Technology,2014,Machine Learning & Data Mining,College of Charleston,Virginia Tech
Alexander G. Gray,Georgia Institute of Technology,2005,Algorithms & Complexity,"University of California, Berkeley",Carnegie Mellon University
Alexandra Boldyreva,Georgia Institute of Technology,2004,Computer Security,Saint Petersburg State Polytechnical University,"University of California, San Diego"
Alexandros Daglis,Georgia Institute of Technology,,,,
Alexey Tumanov,Georgia Institute of Technology,,,,
Amy Bruckman,Georgia Institute of Technology,,Computer Education,Harvard University,Massachusetts Institute of Technology
Angelos Keromytis,Georgia Institute of Technology,2001,Computer Security,University of Crete,University of Pennsylvania
Annie I. Antón,Georgia Institute of Technology,,Software Engineering,Georgia Institute of Technology,Georgia Institute of Technology
Ashok K. Goel,Georgia Institute of Technology,,Human-Computer Interaction,Ohio State University,Ohio State University
Beki Grinter,Georgia Institute of Technology,,Human-Computer Interaction,University of Leeds,"University of California, Irvine"
Betsy DiSalvo,Georgia Institute of Technology,2012,Human-Computer Interaction,University of Dallas,Georgia Institute of Technology
Bistra Dilkina,Georgia Institute of Technology,,,,
Blair MacIntyre,Georgia Institute of Technology,1999,Computer Graphics,University of Waterloo,Columbia University
Brendan Saltaformaggio,Georgia Institute of Technology,,,,
Bruce N. Walker,Georgia Institute of Technology,,Human-Computer Interaction,McGill University,Rice University
Calton Pu,Georgia Institute of Technology,1999,High-Performance Computing,University of São Paulo,University of Washington
Chao Zhang,Georgia Institute of Technology,,,,
Charles L. Isbell Jr.,Georgia Institute of Technology,2002,Machine Learning & Data Mining,Georgia Institute of Technology,Massachusetts Institute of Technology
Charles M. Eastman,Georgia Institute of Technology,,Databases,"University of California, Berkeley",
Colin Potts,Georgia Institute of Technology,1992,Software Engineering,Durham University,University of Sheffield
Concettina Guerra,Georgia Institute of Technology,2005,Comp. Bio & Bioinformatics,,University of Naples Federico II
Constantine Dovrolis,Georgia Institute of Technology,2002,Computer Networks,,University of Wisconsin-Madison
Dana Randall,Georgia Institute of Technology,,Algorithms & Complexity,Harvard University,"University of California, Berkeley"
David Devecsery,Georgia Institute of Technology,,,,
Diyi Yang,Georgia Institute of Technology,,,,
Duen Horng (Polo) Chau,Georgia Institute of Technology,2012,Machine Learning & Data Mining,The Chinese University of Hong Kong,Carnegie Mellon University
Edmond Chow,Georgia Institute of Technology,2010,High-Performance Computing,University of Waterloo,University of Minnesota
Edward Omiecinski,Georgia Institute of Technology,1993,Databases,University of Florida,Northwestern University
Elizabeth D. Mynatt,Georgia Institute of Technology,1998,Human-Computer Interaction,North Carolina State University,Georgia Institute of Technology
Ellen W. Zegura,Georgia Institute of Technology,1993,Computer Networks,Washington University in St. Louis,Washington University in St. Louis
Eric Vigoda,Georgia Institute of Technology,2004,Algorithms & Complexity,,"University of California, Berkeley"
Frank Dellaert,Georgia Institute of Technology,2001,Artificial Intelligence,Case Western Reserve University,Carnegie Mellon University
Greg Turk,Georgia Institute of Technology,,Computer Graphics,,University of North Carolina at Chapel Hill
Gregory D. Abowd,Georgia Institute of Technology,,Human-Computer Interaction,University of Notre Dame,University of Oxford
H. Venkateswaran,Georgia Institute of Technology,1986,Algorithms & Complexity,,University of Washington
Haesun Park,Georgia Institute of Technology,,Scientific Computing,Seoul National University,Cornell University
Hongyuan Zha,Georgia Institute of Technology,2006,Machine Learning & Data Mining,Fudan University,Stanford University
Hyesoon Kim,Georgia Institute of Technology,2007,Computer Architecture,KAIST,University of Texas at Austin
Irfan A. Essa,Georgia Institute of Technology,,Computer Vision,,Massachusetts Institute of Technology
Jack Poulson,Georgia Institute of Technology,2013,High-Performance Computing,University of Texas at Austin,University of Texas at Austin
Jacob D. Abernethy,Georgia Institute of Technology,2013,Machine Learning & Data Mining,Massachusetts Institute of Technology,"University of California, Berkeley"
James D. Foley,Georgia Institute of Technology,,Human-Computer Interaction,Lehigh University,University of Michigan
James Hays,Georgia Institute of Technology,2009,Computer Vision,Georgia Institute of Technology,Carnegie Mellon University
James M. Rehg,Georgia Institute of Technology,2001,Computer Vision,Virginia Tech,Carnegie Mellon University
Janet L. Kolodner,Georgia Institute of Technology,,Computer Education,Brandeis University,Yale University
Jarek Rossignac,Georgia Institute of Technology,1996,Computer Graphics,École nationale supérieure d'électricité et de mécanique,University of Rochester
Jim Rehg,Georgia Institute of Technology,,,,
Jimeng Sun,Georgia Institute of Technology,2014,Computer Networks,Hong Kong University of Science and Technology,Carnegie Mellon University
John T. Stasko,Georgia Institute of Technology,1989,Human-Computer Interaction,Bucknell University,Brown University
Joy Arulraj,Georgia Institute of Technology,,,,
Judy Hoffman,Georgia Institute of Technology,,,,
Jun (Jim) Xu,Georgia Institute of Technology,2000,Computer Networks,Illinois Institute of Technology,Ohio State University
Karsten Schwan,Georgia Institute of Technology,,Operating Systems,,Carnegie Mellon University
Lauren Wilcox,Georgia Institute of Technology,2013,Human-Computer Interaction,Columbia University,Columbia University
Le Song,Georgia Institute of Technology,2011,Machine Learning & Data Mining,South China University of Technology,University of Sydney
Leo Mark,Georgia Institute of Technology,1992,Computer Education,Aarhus University,Aarhus University
Ling Liu,Georgia Institute of Technology,1999,High-Performance Computing,Renmin University of China,Tilburg University
Manos Antonakakis,Georgia Institute of Technology,,,,
Mark O. Riedl,Georgia Institute of Technology,2007,Artificial Intelligence,North Carolina State University,North Carolina State University
Matthew C. Gombolay,Georgia Institute of Technology,,,,
Melody M. Moore,Georgia Institute of Technology,,,,
Melody Moore Jackson,Georgia Institute of Technology,,Human-Computer Interaction,University of Texas at Austin,Georgia Institute of Technology
Merrick L. Furst,Georgia Institute of Technology,2005,Algorithms & Complexity,,Cornell University
Michael L. Best,Georgia Institute of Technology,2008,Human-Computer Interaction,"University of California, Los Angeles",Massachusetts Institute of Technology
Milena Mihail,Georgia Institute of Technology,1989,Algorithms & Complexity,National Technical University of Athens,Harvard University
Milos Prvulovic,Georgia Institute of Technology,2003,Computer Architecture,University of Belgrade,University of Illinois at Urbana-Champaign
Moinuddin K. Qureshi,Georgia Institute of Technology,,,,
Mostafa H. Ammar,Georgia Institute of Technology,1985,Computer Networks,Massachusetts Institute of Technology,University of Waterloo
Munmun De Choudhury,Georgia Institute of Technology,2014,Human-Computer Interaction,"Maulana Azad National Institute of Technology, Bhopal",Arizona State University
Mustaque Ahamad,Georgia Institute of Technology,1985,Computer Security,Birla Institute of Technology and Science,Stony Brook University
Nancy J. Nersessian,Georgia Institute of Technology,1993,Human-Computer Interaction,Boston University,Case Western Reserve University
Paul Pearce,Georgia Institute of Technology,,,,
Prasad Tetali,Georgia Institute of Technology,1994,Algorithms & Complexity,,New York University
Qirun Zhang,Georgia Institute of Technology,,,,
Rahul C. Basole,Georgia Institute of Technology,2006,Machine Learning & Data Mining,Virginia Tech,Georgia Institute of Technology
Rich Vuduc,Georgia Institute of Technology,2007,High-Performance Computing,Cornell University,"University of California, Berkeley"
Richard A. DeMillo,Georgia Institute of Technology,1976,Computer Security,University of St. Thomas,Georgia Institute of Technology
Richard Fujimoto,Georgia Institute of Technology,,High-Performance Computing,University of Illinois at Urbana-Champaign,"University of California, Berkeley"
Richard J. Lipton,Georgia Institute of Technology,2000,Algorithms & Complexity,Case Western Reserve University,Carnegie Mellon University
Richard Peng,Georgia Institute of Technology,2015,Algorithms & Complexity,University of Waterloo,Carnegie Mellon University
Ronald C. Arkin,Georgia Institute of Technology,,Artificial Intelligence,University of Michigan,University of Massachusetts Amherst
Santosh Pande,Georgia Institute of Technology,2000,High-Performance Computing,"National Institute of Technology, Rourkela",North Carolina State University
Santosh S. Vempala,Georgia Institute of Technology,2017,Algorithms & Complexity,Indian Institute of Technology Delhi,Carnegie Mellon University
Sasha Boldyreva,Georgia Institute of Technology,,,,
Seth A. Hutchinson,Georgia Institute of Technology,2003,Computer Vision,Purdue University,Purdue University
Seymour E. Goodman,Georgia Institute of Technology,2000,Computer Security,Columbia University,California Institute of Technology
Shamkant B. Navathe,Georgia Institute of Technology,1980,Databases,"Kendriya Vidyalaya Indian Institute of Science, Bangalore",University of Michigan
Sonia Chernova,Georgia Institute of Technology,,,,
Srijan Kumar,Georgia Institute of Technology,,,,
Srinivas Aluru,Georgia Institute of Technology,2013,Comp. Bio & Bioinformatics,Indian Institute of Technology Madras,Iowa State University
T. E. Starner,Georgia Institute of Technology,,Human-Computer Interaction,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Taesoo Kim,Georgia Institute of Technology,2014,Computer Security,KAIST,Massachusetts Institute of Technology
Thomas M. Conte,Georgia Institute of Technology,1995,Computer Architecture,University of Delaware,University of Illinois at Urbana-Champaign
Thomas Ploetz,Georgia Institute of Technology,,,,
Tucker Balch,Georgia Institute of Technology,2001,Artificial Intelligence,Georgia Institute of Technology,Georgia Institute of Technology
Tuo Zhao,Georgia Institute of Technology,,,,
Tushar Krishna,Georgia Institute of Technology,,,,
Umakishore Ramachandran,Georgia Institute of Technology,,High-Performance Computing,,University of Wisconsin-Madison
Vivek Sarkar,Georgia Institute of Technology,2007,Scientific Computing,Indian Institute of Technology Kanpur,Stanford University
Vladimir Kolesnikov,Georgia Institute of Technology,,,,
W. Keith Edwards,Georgia Institute of Technology,,Human-Computer Interaction,Georgia Institute of Technology,Georgia Institute of Technology
Wenke Lee,Georgia Institute of Technology,2001,Computer Security,Sun Yat-sen University,Columbia University
William R. Harris,Georgia Institute of Technology,2014,Computer Security,Purdue University,University of Wisconsin-Madison
Xu Chu,Georgia Institute of Technology,,,,
Zsolt Kira,Georgia Institute of Technology,,,,
Zvi Galil,Georgia Institute of Technology,2010,Algorithms & Complexity,Tel Aviv University,Cornell University
Rebecca Fiebrink,"Goldsmiths, University of London",2011,Human-Computer Interaction,Ohio State University,Princeton University
Gina Sprint,Gonzaga University,2017,Mobile Computing,Eastern Washington University,Washington State University
